iter	Passed	Remaining
0	3	3290
1	5	2885
2	7	2579
3	9	2258
4	10	2091
5	11	1973
6	13	1940
7	15	1875
8	16	1812
9	17	1757
10	19	1732
11	20	1696
12	21	1665
13	23	1643
14	24	1621
15	26	1609
16	27	1593
17	28	1567
18	30	1552
19	31	1539
20	33	1541
21	34	1526
22	35	1514
23	36	1501
24	38	1496
25	39	1489
26	41	1478
27	42	1471
28	43	1461
29	45	1458
30	46	1453
31	47	1446
32	49	1442
33	50	1436
34	52	1437
35	53	1430
36	55	1454
37	57	1456
38	59	1455
39	60	1452
40	61	1447
41	63	1444
42	65	1446
43	66	1442
44	67	1436
45	69	1434
46	70	1434
47	72	1430
48	73	1424
49	74	1421
50	76	1417
51	77	1421
52	79	1420
53	80	1415
54	82	1412
55	83	1410
56	85	1409
57	86	1407
58	88	1404
59	89	1401
60	91	1412
61	93	1411
62	94	1408
63	96	1409
64	98	1419
65	100	1415
66	101	1411
67	102	1409
68	104	1407
69	105	1403
70	107	1401
71	108	1400
72	110	1400
73	111	1396
74	112	1393
75	114	1390
76	116	1397
77	118	1395
78	119	1394
79	121	1392
80	122	1394
81	124	1397
82	126	1395
83	127	1395
84	130	1402
85	132	1405
86	133	1404
87	135	1406
88	137	1406
89	138	1404
90	140	1399
91	142	1403
92	143	1399
93	144	1395
94	146	1390
95	147	1389
96	148	1386
97	150	1382
98	151	1377
99	152	1375
100	154	1373
101	155	1371
102	157	1368
103	158	1365
104	159	1362
105	161	1359
106	162	1357
107	163	1354
108	165	1351
109	166	1348
110	167	1345
111	169	1344
112	171	1344
113	172	1341
114	174	1339
115	175	1336
116	176	1332
117	177	1329
118	179	1325
119	180	1324
120	181	1320
121	183	1317
122	184	1315
123	185	1312
124	187	1310
125	188	1308
126	190	1306
127	191	1303
128	192	1302
129	194	1301
130	195	1299
131	197	1296
132	198	1294
133	200	1294
134	201	1293
135	203	1290
136	204	1287
137	205	1285
138	207	1283
139	208	1281
140	209	1278
141	211	1276
142	212	1273
143	214	1272
144	215	1269
145	216	1267
146	218	1265
147	219	1263
148	221	1262
149	222	1260
150	223	1258
151	225	1255
152	226	1253
153	227	1251
154	229	1248
155	230	1245
156	231	1244
157	233	1242
158	234	1239
159	235	1238
160	237	1237
161	239	1237
162	240	1236
163	243	1238
164	244	1237
165	246	1238
166	247	1236
167	249	1235
168	250	1233
169	252	1232
170	254	1231
171	255	1230
172	257	1231
173	259	1232
174	260	1230
175	262	1227
176	263	1226
177	265	1225
178	267	1224
179	268	1223
180	269	1221
181	271	1220
182	273	1219
183	274	1219
184	276	1216
185	277	1215
186	279	1213
187	280	1210
188	281	1208
189	283	1206
190	284	1206
191	286	1204
192	287	1202
193	288	1199
194	290	1197
195	291	1197
196	293	1197
197	295	1195
198	296	1193
199	297	1191
200	299	1189
201	300	1187
202	301	1185
203	303	1185
204	306	1187
205	308	1190
206	311	1192
207	313	1192
208	314	1190
209	316	1189
210	317	1187
211	318	1185
212	320	1183
213	321	1180
214	323	1179
215	324	1177
216	325	1176
217	327	1174
218	329	1173
219	331	1174
220	333	1174
221	334	1173
222	336	1172
223	338	1171
224	339	1169
225	340	1167
226	342	1167
227	344	1165
228	345	1163
229	347	1161
230	348	1160
231	350	1159
232	351	1158
233	353	1155
234	354	1154
235	356	1153
236	357	1152
237	359	1150
238	360	1148
239	362	1147
240	363	1145
241	365	1143
242	367	1143
243	368	1142
244	370	1141
245	371	1139
246	373	1137
247	374	1135
248	375	1133
249	377	1131
250	378	1129
251	379	1127
252	381	1125
253	382	1123
254	383	1121
255	385	1119
256	386	1117
257	388	1115
258	389	1114
259	390	1112
260	392	1110
261	393	1108
262	394	1106
263	396	1104
264	397	1102
265	398	1100
266	400	1098
267	401	1096
268	402	1094
269	404	1092
270	405	1090
271	407	1089
272	412	1097
273	417	1105
274	423	1117
275	426	1118
276	428	1117
277	429	1115
278	431	1114
279	433	1114
280	434	1112
281	436	1111
282	437	1109
283	439	1108
284	441	1107
285	442	1105
286	443	1102
287	445	1101
288	447	1100
289	448	1097
290	449	1095
291	450	1093
292	452	1091
293	453	1090
294	455	1087
295	456	1085
296	458	1084
297	459	1082
298	461	1081
299	462	1079
300	463	1077
301	465	1075
302	466	1073
303	467	1071
304	469	1069
305	470	1067
306	472	1065
307	473	1063
308	474	1061
309	475	1059
310	477	1057
311	478	1055
312	480	1054
313	481	1052
314	482	1050
315	484	1049
316	486	1047
317	487	1046
318	489	1044
319	491	1044
320	493	1043
321	494	1041
322	495	1039
323	497	1037
324	498	1036
325	500	1035
326	501	1033
327	503	1031
328	504	1029
329	506	1027
330	507	1025
331	508	1023
332	510	1022
333	511	1020
334	512	1018
335	514	1016
336	515	1014
337	517	1013
338	519	1012
339	520	1010
340	522	1010
341	524	1009
342	526	1008
343	527	1006
344	529	1005
345	531	1004
346	532	1002
347	533	1000
348	535	999
349	537	998
350	539	997
351	540	995
352	543	995
353	544	994
354	546	992
355	547	990
356	549	989
357	550	987
358	552	986
359	553	984
360	555	983
361	557	982
362	558	980
363	559	978
364	561	976
365	562	974
366	563	972
367	565	970
368	566	969
369	568	967
370	569	966
371	571	964
372	573	963
373	575	962
374	577	961
375	578	960
376	580	959
377	581	957
378	583	956
379	585	954
380	587	953
381	588	952
382	589	950
383	591	948
384	592	946
385	594	945
386	596	944
387	597	942
388	598	940
389	600	938
390	601	937
391	603	935
392	604	933
393	606	932
394	607	930
395	609	928
396	610	926
397	611	925
398	613	924
399	615	922
400	616	921
401	617	919
402	619	917
403	631	931
404	632	929
405	634	928
406	636	927
407	638	926
408	639	924
409	641	923
410	642	921
411	644	919
412	645	917
413	647	916
414	648	914
415	649	912
416	651	910
417	652	908
418	653	906
419	655	904
420	656	903
421	657	901
422	659	899
423	660	897
424	662	895
425	663	894
426	664	892
427	666	890
428	667	889
429	669	887
430	670	885
431	672	883
432	674	883
433	676	881
434	677	880
435	679	879
436	680	877
437	682	875
438	684	874
439	685	872
440	687	871
441	688	869
442	690	867
443	691	866
444	693	864
445	694	862
446	695	860
447	697	859
448	699	858
449	700	856
450	702	854
451	703	853
452	705	851
453	706	850
454	708	848
455	710	847
456	711	845
457	713	844
458	715	843
459	716	841
460	719	841
461	720	839
462	722	837
463	723	836
464	725	834
465	726	832
466	727	830
467	729	829
468	730	827
469	732	825
470	733	823
471	734	821
472	736	820
473	737	818
474	739	817
475	740	815
476	742	814
477	743	812
478	745	810
479	746	808
480	748	807
481	749	805
482	750	803
483	752	801
484	753	800
